siparis_id,qr_masa_id,tarih_saat,gun,saat,ay,hafta_sonu,ozel_gun,yas_grubu,kisi_sayisi,hava_durumu,sicaklik_c,toplam_tutar,ikram_var,iptal_var,urun_sayisi,siparis_icerigi
ORD-01332,QR-M08,2026-01-01 08:34,Thursday,8,1,0,,25-34,4,Serin,5,495.0,0,0,7,"3 Çay (Bardak), 1 Kiremitte Menemen, 3 Simit"
ORD-01005,QR-M07,2026-01-01 09:22,Thursday,9,1,0,,35-44,2,Bulutlu,10,365.0,0,0,3,"1 Çay (Bardak), 1 Kiremitte Menemen, 1 Simit"
ORD-01545,QR-M05,2026-01-01 10:39,Thursday,10,1,0,,35-44,4,Serin,5,1300.0,0,0,8,"1 Haydari, 1 Havuç Dilimi Baklava, 2 Çay (Bardak), 1 Serpme Kahvaltı (2 kişi), 1 Kiremitte Menemen, 2 Simit"
ORD-01077,QR-M18,2026-01-01 11:18,Thursday,11,1,0,,18-24,3,Serin,5,345.0,0,0,3,"1 Çay (Bardak), 1 Sucuklu Yumurta, 1 Simit"
ORD-01607,QR-M06,2026-01-01 12:21,Thursday,12,1,0,,25-34,3,Yağmurlu,3,1345.0,0,0,15,"2 Lahmacun, 1 Hamburger Menü, 1 Yayla Çorbası, 2 Çoban Salata, 2 Patates Kızartması, 1 Künefe, 2 Ayran, 2 Kola, 2 Çay (Bardak)"
ORD-00598,QR-M12,2026-01-01 12:35,Thursday,12,1,0,,18-24,5,Bulutlu,10,450.0,0,0,7,"5 Lahmacun, 1 Çiğ Köfte Dürüm, 1 Ayran"
ORD-01142,QR-M14,2026-01-01 13:26,Thursday,13,1,0,,18-24,4,Bulutlu,10,915.0,0,0,9,"2 Lahmacun, 1 Kaşarlı Pide, 1 Hamburger Menü, 2 Çiğ Köfte Dürüm, 2 Patates Kızartması, 1 Ayran"
ORD-01794,QR-M18,2026-01-01 13:43,Thursday,13,1,0,,25-34,5,Güneşli,17,2070.0,0,0,13,"2 Adana Kebap, 2 İskender Kebap, 1 Lahmacun, 1 Kıymalı Pide, 1 Çiğ Köfte Dürüm, 1 Gavurdağı Salata, 1 Ezme, 1 Künefe, 1 Ayran, 2 Şıra"
ORD-01065,QR-M07,2026-01-01 13:46,Thursday,13,1,0,,55+,5,Bulutlu,10,1460.0,0,0,13,"1 İskender Kebap, 1 Tavuk Şiş, 1 Kıymalı Pide, 1 Kaşarlı Pide, 1 Hamburger Menü, 2 Kola, 4 Şıra, 2 Çay (Bardak)"
ORD-01529,QR-M16,2026-01-01 13:55,Thursday,13,1,0,,18-24,3,Bulutlu,10,1030.0,0,0,8,"2 Tavuk Şiş, 1 Lahmacun, 1 Hamburger Menü, 1 Fırın Sütlaç, 1 Ayran, 2 Kola"
ORD-00772,QR-M08,2026-01-01 14:02,Thursday,14,1,0,,55+,3,Bulutlu,10,610.0,0,0,6,"1 Mevsim Salata, 1 Havuç Dilimi Baklava, 1 Künefe, 2 Çay (Bardak), 1 Türk Kahvesi"
ORD-01738,QR-M01,2026-01-01 14:23,Thursday,14,1,0,,35-44,5,Serin,5,1450.0,0,0,13,"1 Mercimek Çorbası, 1 Haydari, 2 Sigara Böreği, 2 Tiramisu, 3 Katmer, 4 Türk Kahvesi"
ORD-01995,QR-M16,2026-01-01 14:35,Thursday,14,1,0,,35-44,3,Bulutlu,10,210.0,0,0,3,"1 Fırın Sütlaç, 1 Çay (Bardak), 1 Türk Kahvesi"
ORD-00367,QR-M06,2026-01-01 14:36,Thursday,14,1,0,,25-34,4,Güneşli,17,575.0,0,0,4,"1 Havuç Dilimi Baklava, 1 Künefe, 1 Tiramisu, 1 Çay (Bardak)"
